neural_subject,behavior_subject,roi,metric,spearman_r,same_subject
sub-003,sub-004,LH_IFG,cosine,0.05571492476427449,False
sub-003,sub-004,LH_MFG,correlation,0.06162064322536349,False
sub-003,sub-004,LH_MFG,euclidean,0.06960077893897795,False
sub-003,sub-004,LH_MFG,cosine,0.06162064322536349,False
sub-003,sub-004,LH_AntTemp,correlation,-0.10182453889080281,False
sub-003,sub-004,LH_AntTemp,euclidean,-0.051901375642620054,False
sub-003,sub-004,LH_AntTemp,cosine,-0.10182453889080281,False
sub-003,sub-004,LH_PostTemp,correlation,-0.0692110919989245,False
sub-003,sub-004,LH_PostTemp,euclidean,-0.12235740431704223,False
sub-003,sub-004,LH_PostTemp,cosine,-0.0692110919989245,False
sub-003,sub-004,RH_IFGorb,correlation,0.035192939649366456,False
sub-003,sub-004,RH_IFGorb,euclidean,-0.02418807738562381,False
sub-003,sub-004,RH_IFGorb,cosine,0.035192939649366456,False
sub-003,sub-004,RH_IFG,correlation,0.012897463787440808,False
sub-003,sub-004,RH_IFG,euclidean,-0.047775160732179175,False
sub-003,sub-004,RH_IFG,cosine,0.013059523161482131,False
sub-003,sub-004,RH_MFG,correlation,-0.03489773962350673,False
sub-003,sub-004,RH_MFG,euclidean,0.08713525962147046,False
sub-003,sub-004,RH_MFG,cosine,-0.03489773962350673,False
sub-003,sub-004,RH_AntTemp,correlation,-0.018179854938833756,False
sub-003,sub-004,RH_AntTemp,euclidean,-0.01358578664114283,False
sub-003,sub-004,RH_AntTemp,cosine,-0.018324448549948368,False
sub-003,sub-004,RH_PostTemp,correlation,-0.041550191030708415,False
sub-003,sub-004,RH_PostTemp,euclidean,-0.012177931619656619,False
sub-003,sub-004,RH_PostTemp,cosine,-0.041674455639072246,False
sub-003,sub-004,ALL,correlation,-0.04488786969360546,False
sub-003,sub-004,ALL,euclidean,-0.08141880131275125,False
sub-003,sub-004,ALL,cosine,-0.044883861157851784,False
sub-004,sub-001,LH_IFGorb,correlation,-0.11230401234463921,False
sub-004,sub-001,LH_IFGorb,euclidean,-0.030805940159302287,False
sub-004,sub-001,LH_IFGorb,cosine,-0.11230401234463921,False
sub-004,sub-001,LH_IFG,correlation,-0.011487925203047991,False
sub-004,sub-001,LH_IFG,euclidean,-0.06155211737230869,False
sub-004,sub-001,LH_IFG,cosine,-0.011487925203047991,False
sub-004,sub-001,LH_MFG,correlation,-0.0387629904299984,False
sub-004,sub-001,LH_MFG,euclidean,-0.012617988187551929,False
sub-004,sub-001,LH_MFG,cosine,-0.0387629904299984,False
sub-004,sub-001,LH_AntTemp,correlation,-0.01352272484822259,False
sub-004,sub-001,LH_AntTemp,euclidean,0.007241038703591394,False
sub-004,sub-001,LH_AntTemp,cosine,-0.01352272484822259,False
sub-004,sub-001,LH_PostTemp,correlation,0.04024391052026811,False
sub-004,sub-001,LH_PostTemp,euclidean,0.02726076787137723,False
